## location: Lindau
## highway: A96
## id: 9250
date,pkw,lkw,mot,various,total
2011-04-03,20789,545,572,3631,25537
2011-04-04,14815,5154,322,10972,31263
2011-04-05,13286,5399,322,11309,30316
2011-04-06,14144,5610,331,11950,32035
2011-04-07,15335,5413,375,11794,32917
2011-04-08,19445,4750,477,11007,35679
2011-04-09,17488,1460,548,4964,24460
2011-04-10,19152,583,594,3478,23807
2011-04-11,15144,5283,329,11551,32307
2011-04-12,14159,5597,238,11667,31661
2011-04-13,15006,5482,302,11732,32522
2011-04-14,16903,5506,334,12043,34786
2011-04-15,22449,4930,526,11870,39775
2011-04-16,22661,1534,617,6209,31021
2011-04-17,20545,613,562,4002,25722
2011-04-18,16980,5189,422,11525,34116
2011-04-19,16161,5576,419,12174,34330
2011-04-20,19835,5812,435,13050,39132
2011-04-21,26390,5553,701,13588,46232
2011-04-22,24469,1044,788,5430,31731
2011-04-23,19290,1168,517,4685,25660
2011-04-24,17547,324,420,3054,21345
2011-04-25,27530,800,717,5063,34110
2011-04-26,20547,5313,512,12315,38687
2011-04-27,16806,5812,343,12660,35621
2011-04-28,17374,5963,361,13000,36698
2011-04-29,20601,5218,515,12274,38608
2011-04-30,20126,1567,501,5667,27861
2011-05-01,20151,579,464,3623,24817
2011-05-02,16123,5374,361,11576,33434
2011-05-03,14364,5555,302,11671,31892
2011-05-04,15055,5743,334,12119,33251
2011-05-05,17001,5589,398,11951,34939
2011-05-06,21010,4906,531,11408,37855
2011-05-07,19921,1418,590,5110,27039
2011-05-08,20715,582,559,3514,25370
2011-05-09,15878,5117,428,11128,32551
2011-05-10,14172,5577,358,11741,31848
2011-05-11,15162,5575,351,11856,32944
2011-05-12,16099,5492,371,11854,33816
2011-05-13,20129,4817,487,11184,36617
2011-05-14,16689,1345,390,4650,23074
2011-05-15,17208,603,415,3260,21486
2011-05-16,15318,5190,361,11131,32000
2011-05-17,14388,5696,323,11952,32359
2011-05-18,15129,5632,423,12076,33260
2011-05-19,16301,5680,412,12229,34622
2011-05-20,20511,4996,529,11634,37670
2011-05-21,16898,1446,521,4918,23783
2011-05-22,18616,665,539,3546,23366
2011-05-23,15995,5427,400,11909,33731
2011-05-24,13869,5487,395,11673,31424
2011-05-25,14939,5630,400,12012,32981
2011-05-26,16226,5688,425,12386,34725
2011-05-27,20310,4834,556,11377,37077
2011-05-28,17556,1510,592,5144,24802
2011-05-29,19286,642,724,3746,24398
2011-05-30,16157,5261,447,11573,33438
2011-05-31,15041,5785,415,12229,33470
2011-06-01,22221,5487,659,13072,41439
2011-06-02,20512,821,965,4353,26651
2011-06-03,19477,4191,680,10077,34425
2011-06-04,19701,1348,740,4990,26779
2011-06-05,23606,1038,813,5603,31060
2011-06-06,17074,5048,420,11286,33828
2011-06-07,15021,5625,385,11877,32908
2011-06-08,15711,5589,366,12076,33742
2011-06-09,16927,5710,445,12705,35787
2011-06-10,22345,5053,603,12861,40862
2011-06-11,23973,1610,884,7046,33513
2011-06-12,19233,518,818,3958,24527
2011-06-13,21177,720,797,4151,26845
2011-06-14,17772,5587,498,12607,36464
2011-06-15,16294,5898,467,12832,35491
2011-06-16,16929,5724,465,12569,35687
2011-06-17,20451,5195,625,12417,38688
2011-06-18,21383,1696,680,6261,30020
2011-06-19,20307,709,545,4074,25635
2011-06-20,16915,5192,507,11578,34192
2011-06-21,15957,5795,500,12479,34731
2011-06-22,19427,5990,636,13655,39708
2011-06-23,18938,874,813,4764,25389
2011-06-24,22269,5222,746,12616,40853
2011-06-25,24754,1775,840,6975,34344
2011-06-26,26366,837,1190,5471,33864
2011-06-27,17593,5428,538,12031,35590
2011-06-28,15308,5753,446,12132,33639
2011-06-29,16201,5867,448,12719,35235
2011-06-30,17397,6104,456,13325,37282
2011-07-01,22732,5130,762,12211,40835
2011-07-02,21758,1431,705,5574,29468
2011-07-03,22897,748,850,4457,28952
2011-07-04,18000,5347,566,11888,35801
2011-07-05,16328,5794,497,12426,35045
2011-07-06,16888,5908,544,12753,36093
2011-07-07,18403,5475,524,12288,36690
2011-07-08,23403,4976,720,12356,41455
2011-07-09,23475,1378,659,5720,31232
2011-07-10,23667,712,775,4401,29555
2011-07-11,18953,5286,546,12057,36842
2011-07-12,16890,5612,539,12225,35266
2011-07-13,18072,5649,480,12527,36728
2011-07-14,21192,5718,508,12879,40297
2011-07-15,27009,4965,671,12497,45142
2011-07-16,26426,1391,726,5986,34529
2011-07-17,24412,737,611,4571,30331
2011-07-18,19711,5312,448,12074,37545
2011-07-19,17292,5635,346,12219,35492
2011-07-20,18399,5647,370,12299,36715
2011-07-21,20454,5568,473,12516,39011
2011-07-22,24737,4776,544,11573,41630
2011-07-23,25624,1214,488,5606,32932
2011-07-24,23844,614,551,4239,29248
2011-07-25,20028,4884,441,11387,36740
2011-07-26,19285,5099,442,11561,36387
2011-07-27,19804,5140,427,11822,37193
2011-07-28,21673,4936,456,11850,38915
2011-07-29,26193,4473,634,11661,42961
2011-07-30,26863,1198,648,6003,34712
2011-07-31,27009,709,732,5391,33841
2011-08-01,21273,3757,420,10041,35491
2011-08-02,20259,4845,594,11422,37120
2011-08-03,19303,4905,531,11106,35845
2011-08-04,21262,4774,561,11503,38100
2011-08-05,25252,4181,618,11065,41116
2011-08-06,26527,1176,618,6057,34378
2011-08-07,26078,819,598,5025,32520
2011-08-08,21188,4576,558,11132,37454
2011-08-09,18967,4718,404,10886,34975
2011-08-10,19988,4830,507,11424,36749
2011-08-11,22550,4695,654,11532,39431
2011-08-12,26481,4134,850,11310,42775
2011-08-13,29311,1232,820,6386,37749
2011-08-14,26890,670,830,5157,33547
2011-08-15,22464,936,570,4580,28550
2011-08-16,19972,5142,542,11900,37556
2011-08-17,20541,5032,666,11761,38000
2011-08-18,21747,5008,634,11814,39203
2011-08-19,23651,4447,719,11379,40196
2011-08-20,26384,1201,817,6224,34626
2011-08-21,25391,708,919,5238,32256
2011-08-22,18798,4716,527,11125,35166
2011-08-23,16343,5086,535,11567,33531
2011-08-24,18177,5302,530,11915,35924
2011-08-25,19323,4981,579,11629,36512
2011-08-26,22994,4539,719,11359,39611
2011-08-27,24726,1295,516,6113,32650
2011-08-28,25389,717,735,4858,31699
2011-08-29,19161,4881,504,11523,36069
2011-08-30,17908,5228,493,11905,35534
2011-08-31,19653,5429,489,12522,38093
2011-09-01,20985,5337,563,12743,39628
2011-09-02,24795,4609,709,12022,42135
2011-09-03,26929,1489,842,6627,35887
2011-09-04,24153,705,673,4770,30301
2011-09-05,18260,5201,488,11869,35818
